url,condition,car,price
www.cars.com/vehicledetail/c357ec63-4653-4788-8a79-3bc712ff415b/,Used,1998 Ferrari F355,$139900
www.cars.com/vehicledetail/46859cd0-fd5c-4e78-8d87-647c67d29861/,Used,2015 Ferrari 458 Speciale Base,$629990
www.cars.com/vehicledetail/4aa0beb3-b28d-4c2c-8c66-cbb2e1e24a2b/,Used,1997 Ferrari F355 Spider,$149900
www.cars.com/vehicledetail/091d1f25-eb53-4e8c-96b3-7622906eef0f/,Used,2017 Ferrari 488 Spider Base,$334989
www.cars.com/vehicledetail/286e32e3-d441-4efd-8e7f-161cbe8b143a/,Used,2015 Ferrari California T,$169495
www.cars.com/vehicledetail/7f53243a-4eef-4706-a8cd-87581e7cac3d/,Used,2018 Ferrari 488 Spider Base,$329000
www.cars.com/vehicledetail/9b4d1147-5c96-4f53-82a8-d4535d508317/,Ferrari Certified,2021 Ferrari SF90 Stradale Base,$899900
www.cars.com/vehicledetail/48e006ee-d029-4b90-8081-a0be3354105b/,Used,2015 Ferrari 458 Spider,$309000
www.cars.com/vehicledetail/600740e0-16d8-4ec2-8dba-e0632a2382ea/,Used,2021 Ferrari SF90 Stradale Base,$859900
www.cars.com/vehicledetail/31ac0758-dc16-4ce1-9fb2-b5dc16c3e544/,Used,1994 Ferrari 348 Spider,$129988
www.cars.com/vehicledetail/53320848-b6bd-4256-83de-1fc3b2b659d7/,Used,2015 Ferrari 458 Spider,$319000
www.cars.com/vehicledetail/85ab5bd9-85f4-473a-a496-ee8d247dc0ca/,Used,2021 Ferrari F8 Tributo Base,$429800
www.cars.com/vehicledetail/aca63700-8874-4a61-828e-35112759a2f5/,Used,2018 Ferrari 488 Spider Base,$379995
www.cars.com/vehicledetail/d943a46f-17da-4fd0-a858-44b84a815dd2/,Used,2014 Ferrari F12berlinetta Base,$239990
www.cars.com/vehicledetail/3e70af10-2762-4f58-8b6c-f2892277762a/,Ferrari Certified,2021 Ferrari F8 Spider Base,$569900
www.cars.com/vehicledetail/5cb685e0-5929-4fe8-b8e9-503632100885/,Used,2012 Ferrari FF Base,$179800
www.cars.com/vehicledetail/48f3b760-df46-49cb-81cd-4ba588c59162/,Used,2003 Ferrari 360 Spider Base,$179995
www.cars.com/vehicledetail/9b799a46-58d9-4941-aa87-caa602ab2393/,Used,2005 Ferrari 575 M Maranello,$149888
www.cars.com/vehicledetail/3d11d4d0-1b6a-4972-b71f-10426a8be966/,Ferrari Certified,2020 Ferrari 812 Superfast Base,$419000
www.cars.com/vehicledetail/ac472566-ae4f-459d-99cd-7acfdf96c470/,Used,1997 Ferrari F355 Spider,$69990
www.cars.com/vehicledetail/d920379b-39ed-48cd-a038-3af8039db073/,Used,2018 Ferrari GTC4Lusso V12,$244800
www.cars.com/vehicledetail/ee6eeb61-18e8-4fa0-8177-e3f0cead69e8/,Used,2017 Ferrari 488 GTB Base,$302990
www.cars.com/vehicledetail/c387d408-ba4e-4701-8097-64f5adcc7efc/,Used,2011 Ferrari California Base,$108899
www.cars.com/vehicledetail/bac7ec65-e0ff-4715-bc6a-a98b52341eaf/,Used,2014 Ferrari FF Base,$139990
www.cars.com/vehicledetail/294ded51-2284-4736-96fa-d7616d9a0d09/,Used,2019 Ferrari GTC4Lusso V12,$299000
www.cars.com/vehicledetail/2b3e2018-f56f-4139-87b4-af0f98b22444/,Ferrari Certified,2011 Ferrari 458 Italia Base,$247400
www.cars.com/vehicledetail/324dcb99-b175-47dc-be17-63e1f8012561/,Used,2017 Ferrari 488 Spider Base,$269888
www.cars.com/vehicledetail/ea99c32d-75f5-41a0-8881-04b13e540fea/,Ferrari Certified,2020 Ferrari 812 Superfast,$425000
